Id,Label,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,Seniority,closnesscentrality,betweenesscentrality,clustering,eigencentrality
32,Boehlert  Sherwood,222.0,17,205,4.487659E-4,3.773178E-4,3.0,1.479057592,76.52854858,0.28292772,0.003642213,6,1.4790575916230366,76.52854858404797,0.28292772,0.0036422130971802977
33,Boggs  Corinne C. (Lindy),96.0,0,96,0.0,2.6951273E-5,5.0,1.793281654,0,0.36129385,0,16,1.79328165374677,0.0,0.36129385,0.0
34,Boland  Edward P.,143.0,0,143,0.0,2.6951273E-5,4.0,1.663212435,0,0.329607,0,16,1.6632124352331605,0.0,0.329607,0.0
35,Boner  William H.,132.0,12,120,3.241087E-4,2.4256145E-4,4.0,1.712435233,33.47013874,0.34738606,0.002550183,10,1.7124352331606219,33.470138738723286,0.34738606,0.002550182945663265
36,Bonior  David E.,214.0,24,190,6.2328595E-4,4.851229E-4,4.0,1.532467532,99.45443178,0.32363653,0.005038456,12,1.5324675324675325,99.45443178249171,0.32363653,0.005038456312377601
37,Bonker  Don,151.0,16,135,4.2383446E-4,4.0426909E-4,4.0,1.684210526,29.4382009,0.34701988,0.003780448,14,1.6842105263157894,29.438200903734955,0.34701988,0.003780447914819959
38,Borski  Robert A.,242.0,24,218,6.2328595E-4,5.3902547E-4,3.0,1.449086162,134.4085767,0.311752,0.005415438,6,1.4490861618798956,134.40857673912348,0.311752,0.005415438261108936
39,Bosco  Douglas H.,157.0,10,147,2.7424583E-4,2.4256145E-4,3.0,1.636125654,31.67440877,0.33435407,0.002305228,6,1.6361256544502618,31.67440877076706,0.33435407,0.0023052277990280967
40,Boucher  Rick,198.0,20,178,5.235602E-4,4.851229E-4,3.0,1.54855643,86.25451387,0.3035174,0.004541254,6,1.5485564304461943,86.25451386934752,0.3035174,0.0045412535931027495
41,Boulter  Beau,149.0,9,140,2.4931438E-4,2.6951273E-4,3.0,1.656992084,44.25007021,0.28292218,0.001832078,4,1.6569920844327177,44.25007021084178,0.28292218,0.001832078419258374
42,Boxer  Barbara,291.0,25,266,6.482174E-4,5.1207416E-4,3.0,1.308707124,170.882809,0.29183552,0.005854009,6,1.3087071240105541,170.88280902162907,0.29183552,0.0058540089886682835
43,Brennan  Joseph E.,160.0,7,153,1.994515E-4,1.886589E-4,3.0,1.609625668,8.190402716,0.350511,0.00198406,2,1.6096256684491979,8.190402716100856,0.350511,0.0019840602801824954
44,Brooks  Jack B.,129.0,34,95,8.7260036E-4,7.815869E-4,3.0,1.785522788,70.26693667,0.33563468,0.008042927,16,1.7855227882037534,70.26693667336274,0.33563468,0.008042926996210955
45,Broomfield  William S.,142.0,21,121,5.4849166E-4,4.851229E-4,4.0,1.721179625,32.10697602,0.32923785,0.005047604,16,1.7211796246648794,32.10697602141524,0.32923785,0.005047603975370047
46,Brown  George E.  Jr.,214.0,19,195,4.9862877E-4,4.5817162E-4,4.0,1.506666667,62.54980159,0.30700716,0.004836618,16,1.5066666666666666,62.54980158549597,0.30700716,0.0048366182650120835
47,Brown  Hank,171.0,27,144,6.980803E-4,5.92928E-4,3.0,1.64171123,85.60446909,0.3007912,0.006049588,8,1.641711229946524,85.60446908971603,0.3007912,0.006049588383663869
48,Bruce  Terry L.,143.0,7,136,1.994515E-4,1.886589E-4,3.0,1.657754011,15.7569037,0.32591352,0.00172132,4,1.6577540106951871,15.756903702239931,0.32591352,0.0017213204145863725
49,Bryant  John W.,249.0,33,216,8.476689E-4,7.2768435E-4,3.0,1.427419355,194.3132119,0.29979596,0.008365783,6,1.4274193548387097,194.3132118811213,0.29979596,0.00836578295304823
50,Buechner  Jack,229.0,25,204,6.482174E-4,5.659767E-4,3.0,1.460916442,116.8910234,0.29071862,0.006003922,2,1.4609164420485174,116.89102340146009,0.29071862,0.006003922044448014
51,Bunning  Jim,124.0,0,124,0.0,2.6951273E-5,3.0,1.683783784,0,0.3198269,0,2,1.6837837837837837,0.0,0.3198269,0.0
52,Burton  Dan,191.0,13,178,3.4904014E-4,2.6951273E-4,3.0,1.527624309,47.88544024,0.2955911,0.002855426,6,1.5276243093922652,47.885440237609465,0.2955911,0.002855426002742207
53,Burton  Sala,17.0,0,17,0.0,2.6951273E-5,5.0,2.17877095,0,0.43014705,0,6,2.17877094972067,0.0,0.43014705,0.0
54,Bustamante  Albert G.,258.0,15,243,3.98903E-4,4.0426909E-4,2.0,1.345013477,111.809447,0.28695744,0.004147727,4,1.3450134770889488,111.80944698220286,0.28695744,0.0041477268009182345
55,Byron  Beverly B.,169.0,23,146,5.983545E-4,5.1207416E-4,3.0,1.624324324,83.92442125,0.32340094,0.005527215,10,1.6243243243243244,83.92442124703129,0.32340094,0.005527215395556522
56,Callahan  Sonny,124.0,0,124,0.0,2.6951273E-5,3.0,1.683923706,0,0.31622082,0,4,1.6839237057220708,0.0,0.31622082,0.0
57,Campbell  Ben Nighthorse,217.0,30,187,7.7287457E-4,6.4683054E-4,3.0,1.502747253,145.3070826,0.2960616,0.007868267,2,1.5027472527472527,145.30708262358522,0.2960616,0.007868267345636407
58,Cardin  Benjamin L.,164.0,2,162,7.479431E-5,5.3902546E-5,4.0,1.585831063,1.449210989,0.33173725,4.31E-04,2,1.5858310626702998,1.4492109889907268,0.33173725,4.3071542505684354E-4
59,Carper  Thomas R.,237.0,53,184,0.0013462977,0.001185856,3.0,1.508196721,263.4088362,0.2932847,0.013410968,6,1.5081967213114753,263.40883622800015,0.2932847,0.013410967612748763
60,Carr  Bob,165.0,37,128,9.4739464E-4,7.815869E-4,4.0,1.669467787,148.7172757,0.32453805,0.009802316,12,1.669467787114846,148.71727566033633,0.32453805,0.009802315651003509
61,Chandler  Rod D.,188.0,27,161,6.980803E-4,6.198793E-4,3.0,1.588888889,88.68646114,0.28768915,0.007082038,6,1.5888888888888888,88.68646113601443,0.28768915,0.007082038400751
